2026-09-05 08:28:07,140 | INFO | __main__ | Fetched page 64: 500 messages (total: 32000)
2026-09-05 08:28:07,516 | INFO | __main__ | Fetched page 65: 500 messages (total: 32500)
2026-09-05 08:28:07,901 | INFO | __main__ | Fetched page 66: 500 messages (total: 33000)
2026-09-05 08:28:08,935 | INFO | __main__ | Fetched page 67: 500 messages (total: 33500)
2026-09-05 08:28:09,335 | INFO | __main__ | Fetched page 68: 500 messages (total: 34000)
2026-09-05 08:28:09,703 | INFO | __main__ | Fetched page 69: 500 messages (total: 34500)
2026-09-05 08:28:10,082 | INFO | __main__ | Fetched page 70: 500 messages (total: 35000)
2026-09-05 08:28:10,524 | INFO | __main__ | Fetched page 71: 500 messages (total: 35500)
2026-09-05 08:28:10,909 | INFO | __main__ | Fetched page 72: 500 messages (total: 36000)
2026-09-05 08:28:11,277 | INFO | __main__ | Fetched page 73: 500 messages (total: 36500)
2026-09-05 08:28:11,660 | INFO | __main__ | Fetched page 74: 500 messages (total: 37000)
2026-09-05 08:28:12,047 | INFO | __main__ | Fetched page 75: 500 messages (total: 37500)
2026-09-05 08:28:12,413 | INFO | __main__ | Fetched page 76: 500 messages (total: 38000)
2026-09-05 08:28:12,787 | INFO | __main__ | Fetched page 77: 500 messages (total: 38500)
2026-09-05 08:28:13,147 | INFO | __main__ | Fetched page 78: 500 messages (total: 39000)
2026-09-05 08:28:13,521 | INFO | __main__ | Fetched page 79: 500 messages (total: 39500)
2026-09-05 08:30:58,086 | INFO | __main__ | Authenticating user...
2026-09-05 08:30:58,086 | INFO | __main__ | Token file found. Loading credentials...
2026-09-05 08:30:58,091 | INFO | __main__ | Authentication successful. Building Gmail service...
2026-09-05 08:30:58,093 | INFO | __main__ | Fetching up to 1000 recent message IDs...
2026-09-05 08:30:58,588 | INFO | __main__ | Fetched page 1: 500 messages (total: 500/1000)
2026-09-05 08:30:59,014 | INFO | __main__ | Fetched page 2: 500 messages (total: 1000/1000)
2026-09-05 08:30:59,014 | INFO | __main__ | Finished fetching message IDs. Total: 1000 messages in 0.92 seconds.
2026-09-05 08:32:50,116 | INFO | __main__ | Authenticating user...
2026-09-05 08:32:50,116 | INFO | __main__ | Token file found. Loading credentials...
2026-09-05 08:32:50,120 | INFO | __main__ | Authentication successful. Building Gmail service...
2026-09-05 08:32:50,122 | INFO | __main__ | Fetching up to 10000 recent message IDs...
2026-09-05 08:32:50,593 | INFO | __main__ | Fetched page 1: 500 messages (total: 500/10000)
2026-09-05 08:32:51,004 | INFO | __main__ | Fetched page 2: 500 messages (total: 1000/10000)
2026-09-05 08:32:52,067 | INFO | __main__ | Fetched page 3: 500 messages (total: 1500/10000)
2026-09-05 08:32:52,462 | INFO | __main__ | Fetched page 4: 500 messages (total: 2000/10000)
2026-09-05 08:32:52,859 | INFO | __main__ | Fetched page 5: 500 messages (total: 2500/10000)
2026-09-05 08:32:53,256 | INFO | __main__ | Fetched page 6: 500 messages (total: 3000/10000)
2026-09-05 08:32:53,667 | INFO | __main__ | Fetched page 7: 500 messages (total: 3500/10000)
2026-09-05 08:32:54,070 | INFO | __main__ | Fetched page 8: 500 messages (total: 4000/10000)
2026-09-05 08:32:54,467 | INFO | __main__ | Fetched page 9: 500 messages (total: 4500/10000)
2026-09-05 08:32:54,846 | INFO | __main__ | Fetched page 10: 500 messages (total: 5000/10000)
2026-09-05 08:32:55,244 | INFO | __main__ | Fetched page 11: 500 messages (total: 5500/10000)
2026-09-05 08:32:55,627 | INFO | __main__ | Fetched page 12: 500 messages (total: 6000/10000)
2026-09-05 08:32:56,006 | INFO | __main__ | Fetched page 13: 500 messages (total: 6500/10000)
2026-09-05 08:32:56,378 | INFO | __main__ | Fetched page 14: 500 messages (total: 7000/10000)
2026-09-05 08:32:56,777 | INFO | __main__ | Fetched page 15: 500 messages (total: 7500/10000)
2026-09-05 08:32:57,192 | INFO | __main__ | Fetched page 16: 500 messages (total: 8000/10000)
2026-09-05 08:32:57,606 | INFO | __main__ | Fetched page 17: 500 messages (total: 8500/10000)
2026-09-05 08:32:58,002 | INFO | __main__ | Fetched page 18: 500 messages (total: 9000/10000)
2026-09-05 08:32:58,402 | INFO | __main__ | Fetched page 19: 500 messages (total: 9500/10000)
2026-09-05 08:32:58,800 | INFO | __main__ | Fetched page 20: 500 messages (total: 10000/10000)
2026-09-05 08:32:58,801 | INFO | __main__ | Finished fetching message IDs. Total: 10000 messages in 8.68 seconds.
2026-09-05 08:34:04,704 | INFO | gmail_sync | Authenticating user...
2026-09-05 08:34:04,704 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 08:34:04,708 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 08:34:04,710 | INFO | gmail_sync | Fetching up to 10000 recent message IDs...
2026-09-05 08:34:05,169 | INFO | gmail_sync | Fetched page 1: 500 messages (total: 500/10000)
2026-09-05 08:34:05,581 | INFO | gmail_sync | Fetched page 2: 500 messages (total: 1000/10000)
2026-09-05 08:34:06,007 | INFO | gmail_sync | Fetched page 3: 500 messages (total: 1500/10000)
2026-09-05 08:34:06,418 | INFO | gmail_sync | Fetched page 4: 500 messages (total: 2000/10000)
2026-09-05 08:34:06,806 | INFO | gmail_sync | Fetched page 5: 500 messages (total: 2500/10000)
2026-09-05 08:34:07,216 | INFO | gmail_sync | Fetched page 6: 500 messages (total: 3000/10000)
2026-09-05 08:34:07,622 | INFO | gmail_sync | Fetched page 7: 500 messages (total: 3500/10000)
2026-09-05 08:34:08,679 | INFO | gmail_sync | Fetched page 8: 500 messages (total: 4000/10000)
2026-09-05 08:34:09,102 | INFO | gmail_sync | Fetched page 9: 500 messages (total: 4500/10000)
2026-09-05 08:34:09,502 | INFO | gmail_sync | Fetched page 10: 500 messages (total: 5000/10000)
2026-09-05 08:34:09,904 | INFO | gmail_sync | Fetched page 11: 500 messages (total: 5500/10000)
2026-09-05 08:34:10,314 | INFO | gmail_sync | Fetched page 12: 500 messages (total: 6000/10000)
2026-09-05 08:34:10,705 | INFO | gmail_sync | Fetched page 13: 500 messages (total: 6500/10000)
2026-09-05 08:34:11,082 | INFO | gmail_sync | Fetched page 14: 500 messages (total: 7000/10000)
2026-09-05 08:34:11,489 | INFO | gmail_sync | Fetched page 15: 500 messages (total: 7500/10000)
2026-09-05 08:34:11,897 | INFO | gmail_sync | Fetched page 16: 500 messages (total: 8000/10000)
2026-09-05 08:34:12,312 | INFO | gmail_sync | Fetched page 17: 500 messages (total: 8500/10000)
2026-09-05 08:34:12,710 | INFO | gmail_sync | Fetched page 18: 500 messages (total: 9000/10000)
2026-09-05 08:34:13,104 | INFO | gmail_sync | Fetched page 19: 500 messages (total: 9500/10000)
2026-09-05 08:34:13,496 | INFO | gmail_sync | Fetched page 20: 500 messages (total: 10000/10000)
2026-09-05 08:34:13,496 | INFO | gmail_sync | Finished fetching message IDs. Total: 10000 messages in 8.79 seconds.
2026-09-05 08:34:29,700 | INFO | gmail_sync | Authenticating user...
2026-09-05 08:34:29,700 | INFO | gmail_sync | Token file found. Loading credentials...
